episode,average_score,best_score
1,,-inf
2,,-inf
3,,-inf
4,,-inf
5,,-inf
6,,-inf
7,,-inf
8,,-inf
9,,-inf
10,,-inf
11,,-inf
12,,-inf
13,,-inf
14,,-inf
15,,-inf
16,,-inf
17,,-inf
18,,-inf
19,,-inf
20,,-inf
21,,-inf
22,,-inf
23,,-inf
24,,-inf
25,,-inf
26,,-inf
27,,-inf
28,,-inf
29,,-inf
30,,-inf
31,,-inf
32,,-inf
33,,-inf
34,,-inf
35,,-inf
36,,-inf
37,,-inf
38,,-inf
39,,-inf
40,,-inf
41,,-inf
42,,-inf
43,,-inf
44,,-inf
45,,-inf
46,,-inf
47,,-inf
48,,-inf
49,,-inf
50,,-inf
51,,-inf
52,,-inf
53,,-inf
54,,-inf
55,,-inf
56,,-inf
57,,-inf
58,,-inf
59,,-inf
60,,-inf
61,,-inf
62,,-inf
63,,-inf
64,,-inf
65,,-inf
66,,-inf
67,,-inf
68,,-inf
69,,-inf
70,,-inf
71,,-inf
72,,-inf
73,,-inf
74,,-inf
75,,-inf
76,,-inf
77,,-inf
78,,-inf
79,,-inf
80,,-inf
81,,-inf
82,,-inf
83,,-inf
84,,-inf
85,,-inf
86,,-inf
87,,-inf
88,,-inf
89,,-inf
90,,-inf
91,,-inf
92,,-inf
93,,-inf
94,,-inf
95,,-inf
96,,-inf
97,,-inf
98,,-inf
99,,-inf
100,,-inf
101,,-inf
102,,-inf
103,,-inf
104,,-inf
105,,-inf
106,,-inf
107,,-inf
108,,-inf
109,,-inf
110,,-inf
111,,-inf
112,,-inf
113,,-inf
114,,-inf
115,,-inf
116,,-inf
117,,-inf
118,,-inf
119,,-inf
120,,-inf
121,,-inf
122,,-inf
123,,-inf
124,,-inf
125,,-inf
126,,-inf
127,,-inf
128,,-inf
129,,-inf
130,,-inf
131,,-inf
132,,-inf
133,,-inf
134,,-inf
135,,-inf
136,,-inf
137,,-inf
138,,-inf
139,,-inf
140,,-inf
141,,-inf
142,,-inf
143,,-inf
144,,-inf
145,,-inf
146,,-inf
147,,-inf
148,,-inf
149,,-inf
150,,-inf
151,,-inf
152,,-inf
153,,-inf
154,,-inf
155,,-inf
156,,-inf
157,,-inf
158,,-inf
159,,-inf
160,,-inf
161,,-inf
162,,-inf
163,,-inf
164,,-inf
165,,-inf
166,,-inf
167,,-inf
168,,-inf
169,,-inf
170,,-inf
171,,-inf
172,,-inf
173,,-inf
174,,-inf
175,,-inf
176,,-inf
177,,-inf
178,,-inf
179,,-inf
180,,-inf
181,,-inf
182,,-inf
183,,-inf
184,,-inf
185,,-inf
186,,-inf
187,,-inf
188,,-inf
189,,-inf
190,,-inf
191,,-inf
192,,-inf
193,,-inf
194,,-inf
195,,-inf
196,,-inf
197,,-inf
198,,-inf
199,,-inf
200,,-inf
201,,-inf
202,,-inf
203,,-inf
204,,-inf
205,,-inf
206,,-inf
207,,-inf
208,,-inf
209,,-inf
210,,-inf
211,,-inf
212,,-inf
213,,-inf
214,,-inf
215,,-inf
216,,-inf
217,,-inf
218,,-inf
219,,-inf
220,,-inf
221,,-inf
222,,-inf
223,,-inf
224,,-inf
225,,-inf
226,,-inf
227,,-inf
228,,-inf
229,,-inf
230,,-inf
231,,-inf
232,,-inf
233,,-inf
234,,-inf
235,,-inf
236,,-inf
237,,-inf
238,,-inf
239,,-inf
240,,-inf
241,,-inf
242,,-inf
243,,-inf
244,,-inf
245,,-inf
246,,-inf
247,,-inf
248,,-inf
249,,-inf
250,,-inf
251,,-inf
252,,-inf
253,,-inf
254,,-inf
255,,-inf
256,,-inf
257,,-inf
258,,-inf
259,,-inf
260,,-inf
261,,-inf
262,,-inf
263,,-inf
264,,-inf
265,,-inf
266,,-inf
267,,-inf
268,,-inf
269,,-inf
270,,-inf
271,,-inf
272,,-inf
273,,-inf
274,,-inf
275,,-inf
276,,-inf
277,,-inf
278,,-inf
279,,-inf
280,,-inf
281,,-inf
282,,-inf
283,,-inf
284,,-inf
285,,-inf
286,,-inf
287,,-inf
288,,-inf
289,,-inf
290,,-inf
291,,-inf
292,,-inf
293,,-inf
294,,-inf
295,,-inf
296,,-inf
297,,-inf
298,,-inf
299,,-inf
300,,-inf
301,,-inf
302,,-inf
303,,-inf
304,,-inf
305,,-inf
306,,-inf
307,,-inf
308,,-inf
309,,-inf
310,,-inf
311,,-inf
312,,-inf
313,,-inf
314,,-inf
315,,-inf
316,,-inf
317,,-inf
318,,-inf
319,,-inf
320,,-inf
321,,-inf
322,,-inf
323,,-inf
324,,-inf
325,,-inf
326,,-inf
327,,-inf
328,,-inf
329,,-inf
330,,-inf
331,,-inf
332,,-inf
333,,-inf
334,,-inf
335,,-inf
336,,-inf
337,,-inf
338,,-inf
339,,-inf
340,,-inf
341,,-inf
342,,-inf
343,,-inf
344,,-inf
345,,-inf
346,,-inf
347,,-inf
348,,-inf
349,,-inf
350,,-inf
351,,-inf
352,,-inf
353,,-inf
354,,-inf
355,,-inf
356,,-inf
357,,-inf
358,,-inf
359,,-inf
360,,-inf
361,,-inf
362,,-inf
363,,-inf
364,,-inf
365,,-inf
366,,-inf
367,,-inf
368,,-inf
369,,-inf
370,,-inf
371,,-inf
372,,-inf
373,,-inf
374,,-inf
375,,-inf
376,,-inf
377,,-inf
378,,-inf
379,,-inf
380,,-inf
381,,-inf
382,,-inf
383,,-inf
384,,-inf
385,,-inf
386,,-inf
387,,-inf
388,,-inf
389,,-inf
390,,-inf
391,,-inf
392,,-inf
393,,-inf
394,,-inf
395,,-inf
396,,-inf
397,,-inf
398,,-inf
399,,-inf
400,,-inf
401,,-inf
402,,-inf
403,,-inf
404,,-inf
405,,-inf
406,,-inf
407,,-inf
408,,-inf
409,,-inf
410,,-inf
411,,-inf
412,,-inf
413,,-inf
414,,-inf
415,,-inf
416,,-inf
417,,-inf
418,,-inf
419,,-inf
420,,-inf
421,,-inf
422,,-inf
423,,-inf
424,,-inf
425,,-inf
426,,-inf
427,,-inf
428,,-inf
429,,-inf
430,,-inf
431,,-inf
432,,-inf
433,,-inf
434,,-inf
435,,-inf
436,,-inf
437,,-inf
438,,-inf
439,,-inf
440,,-inf
441,,-inf
442,,-inf
443,,-inf
444,,-inf
445,,-inf
446,,-inf
447,,-inf
448,,-inf
449,,-inf
450,,-inf
451,,-inf
452,,-inf
453,,-inf
454,,-inf
455,,-inf
456,,-inf
457,,-inf
458,,-inf
459,,-inf
460,,-inf
461,,-inf
462,,-inf
463,,-inf
464,,-inf
465,,-inf
466,,-inf
467,,-inf
468,,-inf
469,,-inf
470,,-inf
471,,-inf
472,,-inf
473,,-inf
474,,-inf
475,,-inf
476,,-inf
477,,-inf
478,,-inf
479,13.0,13.0
480,13.0,13.0
481,13.0,13.0
482,13.0,13.0
483,13.0,13.0
484,13.0,13.0
485,13.0,13.0
486,13.0,13.0
487,13.0,13.0
488,13.0,13.0
489,13.0,13.0
490,13.0,13.0
491,13.0,13.0
492,13.0,13.0
493,13.0,13.0
494,13.0,13.0
495,13.0,13.0
496,13.0,13.0
497,13.0,13.0
498,13.0,13.0
499,13.0,13.0
500,13.0,13.0
501,13.0,13.0
502,13.0,13.0
503,11.5,13.0
504,11.5,13.0
505,11.5,13.0
506,11.5,13.0
507,11.5,13.0
508,11.5,13.0
509,11.5,13.0
510,11.5,13.0
511,11.5,13.0
512,11.5,13.0
513,11.5,13.0
514,11.5,13.0
515,11.666666666666666,13.0
516,11.666666666666666,13.0
517,11.666666666666666,13.0
518,11.666666666666666,13.0
519,13.25,13.25
520,13.25,13.25
521,13.25,13.25
522,13.25,13.25
523,13.25,13.25
524,13.25,13.25
525,13.25,13.25
526,13.25,13.25
527,14.2,14.2
528,14.2,14.2
529,14.2,14.2
530,14.2,14.2
531,14.2,14.2
532,14.2,14.2
533,14.2,14.2
534,14.2,14.2
535,14.2,14.2
536,14.2,14.2
537,14.2,14.2
538,14.2,14.2
539,14.2,14.2
540,14.2,14.2
541,14.2,14.2
542,14.2,14.2
543,14.2,14.2
544,14.2,14.2
545,14.2,14.2
546,14.2,14.2
547,14.2,14.2
548,14.2,14.2
549,14.2,14.2
550,14.2,14.2
551,14.2,14.2
552,14.2,14.2
553,14.2,14.2
554,14.2,14.2
555,14.2,14.2
556,14.2,14.2
557,14.2,14.2
558,14.2,14.2
559,14.2,14.2
560,14.2,14.2
561,14.2,14.2
562,14.2,14.2
563,14.2,14.2
564,14.2,14.2
565,14.2,14.2
566,14.333333333333334,14.333333333333334
567,14.333333333333334,14.333333333333334
568,14.333333333333334,14.333333333333334
569,14.333333333333334,14.333333333333334
570,14.333333333333334,14.333333333333334
571,14.333333333333334,14.333333333333334
572,14.333333333333334,14.333333333333334
573,14.333333333333334,14.333333333333334
574,14.333333333333334,14.333333333333334
575,14.333333333333334,14.333333333333334
576,14.0,14.333333333333334
577,14.125,14.333333333333334
578,14.125,14.333333333333334
579,14.125,14.333333333333334
580,14.125,14.333333333333334
581,14.125,14.333333333333334
582,14.125,14.333333333333334
583,14.125,14.333333333333334
584,14.125,14.333333333333334
585,14.125,14.333333333333334
586,14.125,14.333333333333334
587,14.125,14.333333333333334
588,13.777777777777779,14.333333333333334
589,14.0,14.333333333333334
590,14.363636363636363,14.363636363636363
591,14.363636363636363,14.363636363636363
592,14.363636363636363,14.363636363636363
593,14.363636363636363,14.363636363636363
594,14.363636363636363,14.363636363636363
595,14.363636363636363,14.363636363636363
596,14.363636363636363,14.363636363636363
597,15.083333333333334,15.083333333333334
598,15.083333333333334,15.083333333333334
599,15.083333333333334,15.083333333333334
600,15.083333333333334,15.083333333333334
601,15.083333333333334,15.083333333333334
602,15.083333333333334,15.083333333333334
603,15.083333333333334,15.083333333333334
604,15.083333333333334,15.083333333333334
605,15.307692307692308,15.307692307692308
606,15.642857142857142,15.642857142857142
607,15.642857142857142,15.642857142857142
608,15.642857142857142,15.642857142857142
609,15.642857142857142,15.642857142857142
610,15.642857142857142,15.642857142857142
611,15.642857142857142,15.642857142857142
612,15.642857142857142,15.642857142857142
613,15.642857142857142,15.642857142857142
614,15.642857142857142,15.642857142857142
615,15.642857142857142,15.642857142857142
616,15.642857142857142,15.642857142857142
617,15.642857142857142,15.642857142857142
618,15.642857142857142,15.642857142857142
619,15.642857142857142,15.642857142857142
620,15.666666666666666,15.666666666666666
621,15.666666666666666,15.666666666666666
622,15.666666666666666,15.666666666666666
623,15.666666666666666,15.666666666666666
624,15.625,15.666666666666666
625,15.764705882352942,15.764705882352942
626,15.764705882352942,15.764705882352942
627,15.764705882352942,15.764705882352942
628,15.764705882352942,15.764705882352942
629,15.764705882352942,15.764705882352942
630,15.764705882352942,15.764705882352942
631,15.764705882352942,15.764705882352942
632,15.764705882352942,15.764705882352942
633,15.764705882352942,15.764705882352942
634,15.764705882352942,15.764705882352942
635,15.764705882352942,15.764705882352942
636,15.764705882352942,15.764705882352942
637,15.764705882352942,15.764705882352942
638,15.764705882352942,15.764705882352942
639,16.166666666666668,16.166666666666668
640,16.166666666666668,16.166666666666668
641,16.166666666666668,16.166666666666668
642,16.166666666666668,16.166666666666668
643,16.166666666666668,16.166666666666668
644,16.166666666666668,16.166666666666668
645,16.105263157894736,16.166666666666668
646,16.105263157894736,16.166666666666668
647,16.105263157894736,16.166666666666668
648,16.2,16.2
649,16.2,16.2
650,16.19047619047619,16.2
651,16.19047619047619,16.2
652,16.19047619047619,16.2
653,16.19047619047619,16.2
654,16.19047619047619,16.2
655,16.19047619047619,16.2
656,16.272727272727273,16.272727272727273
657,16.272727272727273,16.272727272727273
658,16.272727272727273,16.272727272727273
659,16.272727272727273,16.272727272727273
660,16.272727272727273,16.272727272727273
661,16.272727272727273,16.272727272727273
662,16.272727272727273,16.272727272727273
663,16.272727272727273,16.272727272727273
664,16.272727272727273,16.272727272727273
665,16.272727272727273,16.272727272727273
666,16.272727272727273,16.272727272727273
667,16.272727272727273,16.272727272727273
668,16.272727272727273,16.272727272727273
669,16.272727272727273,16.272727272727273
670,16.272727272727273,16.272727272727273
671,16.272727272727273,16.272727272727273
672,16.272727272727273,16.272727272727273
673,16.272727272727273,16.272727272727273
674,16.272727272727273,16.272727272727273
675,16.272727272727273,16.272727272727273
676,16.347826086956523,16.347826086956523
677,16.347826086956523,16.347826086956523
678,16.347826086956523,16.347826086956523
679,16.347826086956523,16.347826086956523
680,16.347826086956523,16.347826086956523
681,16.347826086956523,16.347826086956523
682,16.75,16.75
683,16.75,16.75
684,16.75,16.75
685,16.75,16.75
686,16.75,16.75
687,16.75,16.75
688,16.75,16.75
689,16.75,16.75
690,17.0,17.0
691,17.0,17.0
692,17.0,17.0
693,17.0,17.0
694,17.0,17.0
695,17.0,17.0
696,17.0,17.0
697,17.0,17.0
698,17.0,17.0
699,17.0,17.0
700,17.0,17.0
701,17.0,17.0
702,17.0,17.0
703,17.0,17.0
704,17.0,17.0
705,17.0,17.0
706,17.0,17.0
707,17.0,17.0
708,17.0,17.0
709,17.0,17.0
710,17.0,17.0
711,17.0,17.0
712,17.0,17.0
713,17.0,17.0
714,17.0,17.0
715,17.0,17.0
716,17.0,17.0
717,17.0,17.0
718,17.192307692307693,17.192307692307693
719,17.192307692307693,17.192307692307693
720,17.192307692307693,17.192307692307693
721,17.192307692307693,17.192307692307693
722,17.192307692307693,17.192307692307693
723,17.192307692307693,17.192307692307693
724,17.192307692307693,17.192307692307693
725,17.192307692307693,17.192307692307693
726,17.192307692307693,17.192307692307693
727,17.192307692307693,17.192307692307693
728,17.192307692307693,17.192307692307693
729,17.192307692307693,17.192307692307693
730,17.192307692307693,17.192307692307693
731,17.192307692307693,17.192307692307693
732,17.192307692307693,17.192307692307693
733,17.192307692307693,17.192307692307693
734,17.192307692307693,17.192307692307693
735,17.192307692307693,17.192307692307693
736,17.192307692307693,17.192307692307693
737,17.192307692307693,17.192307692307693
738,17.192307692307693,17.192307692307693
739,17.192307692307693,17.192307692307693
740,17.192307692307693,17.192307692307693
741,17.192307692307693,17.192307692307693
742,17.192307692307693,17.192307692307693
743,17.192307692307693,17.192307692307693
744,17.192307692307693,17.192307692307693
745,17.192307692307693,17.192307692307693
746,17.192307692307693,17.192307692307693
747,17.192307692307693,17.192307692307693
748,17.192307692307693,17.192307692307693
749,17.192307692307693,17.192307692307693
750,17.192307692307693,17.192307692307693
751,17.192307692307693,17.192307692307693
752,17.192307692307693,17.192307692307693
753,17.192307692307693,17.192307692307693
754,17.192307692307693,17.192307692307693
755,17.192307692307693,17.192307692307693
756,17.192307692307693,17.192307692307693
757,17.192307692307693,17.192307692307693
758,17.192307692307693,17.192307692307693
759,17.192307692307693,17.192307692307693
760,17.192307692307693,17.192307692307693
761,17.192307692307693,17.192307692307693
762,17.192307692307693,17.192307692307693
763,17.192307692307693,17.192307692307693
764,17.192307692307693,17.192307692307693
765,17.192307692307693,17.192307692307693
766,17.192307692307693,17.192307692307693
767,17.192307692307693,17.192307692307693
768,17.192307692307693,17.192307692307693
769,17.192307692307693,17.192307692307693
770,17.192307692307693,17.192307692307693
771,17.192307692307693,17.192307692307693
772,17.333333333333332,17.333333333333332
773,17.333333333333332,17.333333333333332
774,17.333333333333332,17.333333333333332
775,17.333333333333332,17.333333333333332
776,17.333333333333332,17.333333333333332
777,17.333333333333332,17.333333333333332
778,17.333333333333332,17.333333333333332
779,17.333333333333332,17.333333333333332
780,17.333333333333332,17.333333333333332
781,17.333333333333332,17.333333333333332
782,17.392857142857142,17.392857142857142
783,17.392857142857142,17.392857142857142
