episode,average_score,best_score
1,,-inf
2,,-inf
3,,-inf
4,,-inf
5,,-inf
6,,-inf
7,,-inf
8,,-inf
9,,-inf
10,,-inf
11,,-inf
12,,-inf
13,,-inf
14,,-inf
15,,-inf
16,,-inf
17,,-inf
18,,-inf
19,,-inf
20,,-inf
21,,-inf
22,,-inf
23,,-inf
24,,-inf
25,,-inf
26,,-inf
27,,-inf
28,,-inf
29,,-inf
30,,-inf
31,,-inf
32,,-inf
33,,-inf
34,,-inf
35,,-inf
36,,-inf
37,,-inf
38,,-inf
39,,-inf
40,,-inf
41,,-inf
42,,-inf
43,,-inf
44,,-inf
45,,-inf
46,,-inf
47,,-inf
48,,-inf
49,,-inf
50,,-inf
51,,-inf
52,,-inf
53,,-inf
54,,-inf
55,,-inf
56,,-inf
57,,-inf
58,,-inf
59,,-inf
60,,-inf
61,,-inf
62,,-inf
63,,-inf
64,,-inf
65,,-inf
66,,-inf
67,,-inf
68,,-inf
69,,-inf
70,,-inf
71,,-inf
72,,-inf
73,,-inf
74,,-inf
75,,-inf
76,,-inf
77,,-inf
78,,-inf
79,,-inf
80,,-inf
81,,-inf
82,,-inf
83,,-inf
84,,-inf
85,,-inf
86,,-inf
87,,-inf
88,,-inf
89,,-inf
90,,-inf
91,,-inf
92,,-inf
93,,-inf
94,,-inf
95,,-inf
96,,-inf
97,,-inf
98,,-inf
99,,-inf
100,,-inf
101,,-inf
102,,-inf
103,,-inf
104,,-inf
105,,-inf
106,,-inf
107,,-inf
108,,-inf
109,,-inf
110,,-inf
111,,-inf
112,,-inf
113,,-inf
114,,-inf
115,,-inf
116,,-inf
117,,-inf
118,,-inf
119,,-inf
120,,-inf
121,,-inf
122,,-inf
123,,-inf
124,,-inf
125,,-inf
126,,-inf
127,,-inf
128,,-inf
129,,-inf
130,,-inf
131,,-inf
132,,-inf
133,,-inf
134,,-inf
135,,-inf
136,,-inf
137,,-inf
138,,-inf
139,,-inf
140,,-inf
141,,-inf
142,,-inf
143,,-inf
144,,-inf
145,,-inf
146,,-inf
147,,-inf
148,,-inf
149,,-inf
150,,-inf
151,,-inf
152,,-inf
153,,-inf
154,,-inf
155,,-inf
156,,-inf
157,,-inf
158,,-inf
159,,-inf
160,,-inf
161,,-inf
162,,-inf
163,,-inf
164,,-inf
165,,-inf
166,,-inf
167,,-inf
168,,-inf
169,,-inf
170,,-inf
171,,-inf
172,,-inf
173,,-inf
174,,-inf
175,,-inf
176,,-inf
177,,-inf
178,,-inf
179,,-inf
180,,-inf
181,,-inf
182,,-inf
183,,-inf
184,,-inf
185,,-inf
186,,-inf
187,,-inf
188,,-inf
189,,-inf
190,,-inf
191,,-inf
192,,-inf
193,,-inf
194,,-inf
195,,-inf
196,,-inf
197,,-inf
198,,-inf
199,,-inf
200,,-inf
201,,-inf
202,,-inf
203,,-inf
204,,-inf
205,,-inf
206,,-inf
207,,-inf
208,,-inf
209,,-inf
210,,-inf
211,,-inf
212,,-inf
213,,-inf
214,,-inf
215,,-inf
216,,-inf
217,,-inf
218,,-inf
219,,-inf
220,,-inf
221,,-inf
222,,-inf
223,,-inf
224,,-inf
225,,-inf
226,,-inf
227,,-inf
228,,-inf
229,,-inf
230,,-inf
231,,-inf
232,,-inf
233,,-inf
234,,-inf
235,,-inf
236,,-inf
237,,-inf
238,,-inf
239,,-inf
240,,-inf
241,,-inf
242,,-inf
243,,-inf
244,,-inf
245,,-inf
246,,-inf
247,,-inf
248,,-inf
249,,-inf
250,,-inf
251,,-inf
252,,-inf
253,,-inf
254,,-inf
255,,-inf
256,,-inf
257,,-inf
258,,-inf
259,,-inf
260,,-inf
261,,-inf
262,,-inf
263,,-inf
264,,-inf
265,,-inf
266,,-inf
267,,-inf
268,,-inf
269,,-inf
270,,-inf
271,,-inf
272,,-inf
273,,-inf
274,,-inf
275,,-inf
276,,-inf
277,,-inf
278,,-inf
279,,-inf
280,,-inf
281,,-inf
282,,-inf
283,,-inf
284,,-inf
285,,-inf
286,,-inf
287,,-inf
288,,-inf
289,,-inf
290,,-inf
291,,-inf
292,,-inf
293,,-inf
294,,-inf
295,,-inf
296,,-inf
297,,-inf
298,,-inf
299,,-inf
300,,-inf
301,,-inf
302,,-inf
303,,-inf
304,,-inf
305,,-inf
306,,-inf
307,,-inf
308,,-inf
309,,-inf
310,,-inf
311,,-inf
312,,-inf
313,,-inf
314,,-inf
315,,-inf
316,,-inf
317,,-inf
318,,-inf
319,,-inf
320,,-inf
321,,-inf
322,,-inf
323,,-inf
324,,-inf
325,,-inf
326,,-inf
327,,-inf
328,,-inf
329,,-inf
330,,-inf
331,,-inf
332,,-inf
333,,-inf
334,,-inf
335,,-inf
336,,-inf
337,,-inf
338,,-inf
339,,-inf
340,,-inf
341,,-inf
342,,-inf
343,,-inf
344,,-inf
345,,-inf
346,,-inf
347,,-inf
348,,-inf
349,,-inf
350,,-inf
351,,-inf
352,,-inf
353,,-inf
354,,-inf
355,,-inf
356,,-inf
357,,-inf
358,,-inf
359,,-inf
360,,-inf
361,,-inf
362,,-inf
363,,-inf
364,,-inf
365,,-inf
366,,-inf
367,,-inf
368,,-inf
369,,-inf
370,,-inf
371,,-inf
372,,-inf
373,,-inf
374,,-inf
375,,-inf
376,,-inf
377,,-inf
378,,-inf
379,,-inf
380,,-inf
381,,-inf
382,,-inf
383,,-inf
384,,-inf
385,,-inf
386,,-inf
387,,-inf
388,,-inf
389,,-inf
390,,-inf
391,,-inf
392,,-inf
393,,-inf
394,,-inf
395,,-inf
396,,-inf
397,,-inf
398,,-inf
399,,-inf
400,,-inf
401,,-inf
402,,-inf
403,,-inf
404,,-inf
405,,-inf
406,,-inf
407,,-inf
408,,-inf
409,,-inf
410,,-inf
411,,-inf
412,,-inf
413,,-inf
414,,-inf
415,,-inf
416,,-inf
417,,-inf
418,,-inf
419,,-inf
420,,-inf
421,,-inf
422,,-inf
423,,-inf
424,,-inf
425,,-inf
426,,-inf
427,,-inf
428,,-inf
429,,-inf
430,,-inf
431,,-inf
432,,-inf
433,,-inf
434,,-inf
435,,-inf
436,,-inf
437,,-inf
438,,-inf
439,,-inf
440,,-inf
441,,-inf
442,,-inf
443,,-inf
444,,-inf
445,,-inf
446,,-inf
447,,-inf
448,,-inf
449,,-inf
450,,-inf
451,,-inf
452,,-inf
453,,-inf
454,,-inf
455,,-inf
456,,-inf
457,,-inf
458,,-inf
459,,-inf
460,,-inf
461,,-inf
462,,-inf
463,,-inf
464,,-inf
465,,-inf
466,,-inf
467,,-inf
468,,-inf
469,,-inf
470,,-inf
471,,-inf
472,,-inf
473,,-inf
474,,-inf
475,,-inf
476,,-inf
477,,-inf
478,,-inf
479,,-inf
480,,-inf
481,,-inf
482,,-inf
483,,-inf
484,,-inf
485,,-inf
486,,-inf
487,,-inf
488,,-inf
489,,-inf
490,,-inf
491,,-inf
492,,-inf
493,,-inf
494,,-inf
495,,-inf
496,,-inf
497,,-inf
498,,-inf
499,,-inf
500,,-inf
501,,-inf
502,,-inf
503,,-inf
504,,-inf
505,,-inf
506,,-inf
507,3.0,3.0
508,3.0,3.0
509,3.0,3.0
510,3.0,3.0
511,3.0,3.0
512,3.0,3.0
513,3.0,3.0
514,3.0,3.0
515,3.0,3.0
516,3.0,3.0
517,3.0,3.0
518,3.0,3.0
519,3.0,3.0
520,3.0,3.0
521,3.0,3.0
522,3.0,3.0
523,3.0,3.0
524,3.0,3.0
525,3.0,3.0
526,3.0,3.0
527,3.0,3.0
528,3.0,3.0
529,3.0,3.0
530,3.0,3.0
531,3.0,3.0
532,3.0,3.0
533,3.0,3.0
534,3.0,3.0
535,3.0,3.0
536,3.0,3.0
537,3.0,3.0
538,3.0,3.0
539,3.0,3.0
540,3.0,3.0
541,3.0,3.0
542,3.0,3.0
543,3.0,3.0
544,3.0,3.0
545,3.0,3.0
546,3.0,3.0
547,3.0,3.0
548,3.0,3.0
549,3.0,3.0
550,3.0,3.0
551,3.0,3.0
552,3.0,3.0
553,3.0,3.0
554,3.0,3.0
555,3.0,3.0
556,3.0,3.0
557,3.0,3.0
558,3.0,3.0
559,3.0,3.0
560,3.0,3.0
561,3.0,3.0
562,3.0,3.0
563,3.0,3.0
564,3.0,3.0
565,3.5,3.5
566,3.5,3.5
567,3.5,3.5
568,3.5,3.5
569,3.5,3.5
570,3.5,3.5
571,3.5,3.5
572,3.5,3.5
573,3.5,3.5
574,3.5,3.5
575,3.5,3.5
576,3.5,3.5
577,3.5,3.5
578,3.5,3.5
579,3.5,3.5
580,3.5,3.5
581,3.5,3.5
582,3.5,3.5
583,3.5,3.5
584,3.5,3.5
585,3.5,3.5
586,3.5,3.5
587,3.5,3.5
588,3.5,3.5
589,3.5,3.5
590,3.5,3.5
591,3.5,3.5
592,3.5,3.5
593,3.5,3.5
594,3.5,3.5
595,3.5,3.5
596,3.5,3.5
597,3.5,3.5
598,3.5,3.5
599,3.5,3.5
600,3.5,3.5
601,3.5,3.5
602,3.5,3.5
603,3.5,3.5
604,3.5,3.5
605,3.5,3.5
606,3.5,3.5
607,3.5,3.5
608,3.5,3.5
609,3.5,3.5
610,3.6666666666666665,3.6666666666666665
611,3.6666666666666665,3.6666666666666665
612,3.6666666666666665,3.6666666666666665
613,3.6666666666666665,3.6666666666666665
614,3.6666666666666665,3.6666666666666665
615,3.6666666666666665,3.6666666666666665
616,3.6666666666666665,3.6666666666666665
617,3.6666666666666665,3.6666666666666665
618,3.6666666666666665,3.6666666666666665
619,3.6666666666666665,3.6666666666666665
620,3.6666666666666665,3.6666666666666665
621,3.6666666666666665,3.6666666666666665
622,3.6666666666666665,3.6666666666666665
623,3.6666666666666665,3.6666666666666665
624,3.6666666666666665,3.6666666666666665
625,3.6666666666666665,3.6666666666666665
626,4.0,4.0
627,4.0,4.0
628,4.0,4.0
629,4.0,4.0
630,4.0,4.0
631,4.0,4.0
632,4.0,4.0
633,4.0,4.0
634,4.0,4.0
635,4.0,4.0
636,4.0,4.0
637,4.0,4.0
638,4.0,4.0
639,4.0,4.0
640,4.0,4.0
641,3.8333333333333335,4.0
642,3.8333333333333335,4.0
643,3.8333333333333335,4.0
644,3.8333333333333335,4.0
645,3.8333333333333335,4.0
646,3.8333333333333335,4.0
647,3.8333333333333335,4.0
648,3.8333333333333335,4.0
649,3.8333333333333335,4.0
650,3.8333333333333335,4.0
651,3.8333333333333335,4.0
652,3.8333333333333335,4.0
653,3.8333333333333335,4.0
654,3.8333333333333335,4.0
655,3.8333333333333335,4.0
656,3.8333333333333335,4.0
657,3.8333333333333335,4.0
658,3.8333333333333335,4.0
659,3.8333333333333335,4.0
660,4.0,4.0
661,4.0,4.0
662,4.0,4.0
663,4.0,4.0
664,4.0,4.0
665,4.0,4.0
666,4.0,4.0
667,4.0,4.0
668,4.0,4.0
669,4.0,4.0
670,4.0,4.0
671,4.0,4.0
672,4.0,4.0
673,4.0,4.0
674,4.0,4.0
675,4.0,4.0
676,4.0,4.0
677,4.0,4.0
678,4.0,4.0
679,4.0,4.0
680,4.0,4.0
681,4.0,4.0
682,4.0,4.0
683,4.0,4.0
684,4.0,4.0
685,4.0,4.0
686,4.0,4.0
687,4.0,4.0
688,4.0,4.0
689,4.0,4.0
690,4.0,4.0
691,4.0,4.0
692,4.0,4.0
693,4.0,4.0
694,4.0,4.0
695,4.0,4.0
696,4.0,4.0
697,4.0,4.0
698,4.0,4.0
699,4.0,4.0
700,4.0,4.0
701,4.0,4.0
702,4.0,4.0
703,4.0,4.0
704,4.0,4.0
705,4.0,4.0
706,4.0,4.0
707,4.125,4.125
708,4.125,4.125
709,4.125,4.125
710,4.111111111111111,4.125
711,4.111111111111111,4.125
712,4.111111111111111,4.125
713,4.111111111111111,4.125
714,4.111111111111111,4.125
715,4.111111111111111,4.125
716,4.2,4.2
717,4.2,4.2
718,4.2,4.2
719,4.2,4.2
720,4.2,4.2
721,4.181818181818182,4.2
722,4.181818181818182,4.2
723,4.181818181818182,4.2
724,4.181818181818182,4.2
725,4.181818181818182,4.2
726,4.181818181818182,4.2
727,4.181818181818182,4.2
728,4.181818181818182,4.2
729,4.181818181818182,4.2
730,4.181818181818182,4.2
731,4.181818181818182,4.2
732,4.181818181818182,4.2
733,4.181818181818182,4.2
734,4.181818181818182,4.2
735,4.181818181818182,4.2
736,4.181818181818182,4.2
737,4.181818181818182,4.2
738,4.181818181818182,4.2
739,4.181818181818182,4.2
740,4.181818181818182,4.2
741,4.181818181818182,4.2
742,4.333333333333333,4.333333333333333
743,4.333333333333333,4.333333333333333
744,4.333333333333333,4.333333333333333
745,4.333333333333333,4.333333333333333
746,4.333333333333333,4.333333333333333
747,4.333333333333333,4.333333333333333
748,4.333333333333333,4.333333333333333
749,4.333333333333333,4.333333333333333
750,4.333333333333333,4.333333333333333
751,4.333333333333333,4.333333333333333
752,4.333333333333333,4.333333333333333
753,4.333333333333333,4.333333333333333
754,4.333333333333333,4.333333333333333
755,4.333333333333333,4.333333333333333
756,4.333333333333333,4.333333333333333
757,4.384615384615385,4.384615384615385
758,4.384615384615385,4.384615384615385
759,4.384615384615385,4.384615384615385
760,4.384615384615385,4.384615384615385
761,4.384615384615385,4.384615384615385
762,4.384615384615385,4.384615384615385
763,4.384615384615385,4.384615384615385
764,4.384615384615385,4.384615384615385
765,4.384615384615385,4.384615384615385
766,4.384615384615385,4.384615384615385
767,4.357142857142857,4.384615384615385
768,4.357142857142857,4.384615384615385
769,4.357142857142857,4.384615384615385
770,4.357142857142857,4.384615384615385
771,4.357142857142857,4.384615384615385
772,4.357142857142857,4.384615384615385
773,4.357142857142857,4.384615384615385
774,4.357142857142857,4.384615384615385
775,4.357142857142857,4.384615384615385
776,4.357142857142857,4.384615384615385
777,4.357142857142857,4.384615384615385
778,4.357142857142857,4.384615384615385
779,4.357142857142857,4.384615384615385
780,4.357142857142857,4.384615384615385
781,4.357142857142857,4.384615384615385
782,4.357142857142857,4.384615384615385
783,4.357142857142857,4.384615384615385
784,4.357142857142857,4.384615384615385
785,4.357142857142857,4.384615384615385
786,4.357142857142857,4.384615384615385
787,4.357142857142857,4.384615384615385
788,4.357142857142857,4.384615384615385
789,4.357142857142857,4.384615384615385
790,4.357142857142857,4.384615384615385
791,4.357142857142857,4.384615384615385
792,4.357142857142857,4.384615384615385
793,4.333333333333333,4.384615384615385
794,4.333333333333333,4.384615384615385
795,4.333333333333333,4.384615384615385
796,4.333333333333333,4.384615384615385
797,4.333333333333333,4.384615384615385
798,4.333333333333333,4.384615384615385
799,4.333333333333333,4.384615384615385
800,4.333333333333333,4.384615384615385
801,4.333333333333333,4.384615384615385
802,4.333333333333333,4.384615384615385
803,4.333333333333333,4.384615384615385
804,4.333333333333333,4.384615384615385
805,4.333333333333333,4.384615384615385
806,4.333333333333333,4.384615384615385
807,4.333333333333333,4.384615384615385
808,4.333333333333333,4.384615384615385
809,4.333333333333333,4.384615384615385
810,4.333333333333333,4.384615384615385
811,4.333333333333333,4.384615384615385
812,4.333333333333333,4.384615384615385
813,4.333333333333333,4.384615384615385
814,4.333333333333333,4.384615384615385
815,4.333333333333333,4.384615384615385
816,4.333333333333333,4.384615384615385
817,4.333333333333333,4.384615384615385
818,4.333333333333333,4.384615384615385
819,4.333333333333333,4.384615384615385
820,4.333333333333333,4.384615384615385
821,4.333333333333333,4.384615384615385
822,4.333333333333333,4.384615384615385
823,4.333333333333333,4.384615384615385
824,4.333333333333333,4.384615384615385
825,4.333333333333333,4.384615384615385
