episode,average_score,best_score
1,,-inf
2,,-inf
3,,-inf
4,,-inf
5,,-inf
6,,-inf
7,,-inf
8,,-inf
9,,-inf
10,,-inf
11,,-inf
12,,-inf
13,,-inf
14,,-inf
15,,-inf
16,,-inf
17,,-inf
18,,-inf
19,,-inf
20,,-inf
21,,-inf
22,,-inf
23,,-inf
24,,-inf
25,,-inf
26,,-inf
27,,-inf
28,,-inf
29,,-inf
30,,-inf
31,,-inf
32,,-inf
33,,-inf
34,,-inf
35,,-inf
36,,-inf
37,,-inf
38,,-inf
39,,-inf
40,,-inf
41,,-inf
42,,-inf
43,,-inf
44,,-inf
45,,-inf
46,,-inf
47,,-inf
48,,-inf
49,,-inf
50,,-inf
51,,-inf
52,,-inf
53,,-inf
54,,-inf
55,,-inf
56,,-inf
57,,-inf
58,,-inf
59,,-inf
60,,-inf
61,,-inf
62,,-inf
63,,-inf
64,,-inf
65,,-inf
66,,-inf
67,,-inf
68,,-inf
69,,-inf
70,,-inf
71,,-inf
72,,-inf
73,,-inf
74,,-inf
75,,-inf
76,,-inf
77,,-inf
78,,-inf
79,,-inf
80,,-inf
81,,-inf
82,,-inf
83,,-inf
84,,-inf
85,,-inf
86,,-inf
87,,-inf
88,,-inf
89,,-inf
90,,-inf
91,,-inf
92,,-inf
93,,-inf
94,,-inf
95,,-inf
96,,-inf
97,,-inf
98,,-inf
99,,-inf
100,,-inf
101,,-inf
102,,-inf
103,,-inf
104,,-inf
105,,-inf
106,,-inf
107,,-inf
108,,-inf
109,,-inf
110,,-inf
111,,-inf
112,,-inf
113,,-inf
114,,-inf
115,,-inf
116,,-inf
117,,-inf
118,,-inf
119,,-inf
120,,-inf
121,,-inf
122,,-inf
123,,-inf
124,,-inf
125,,-inf
126,,-inf
127,,-inf
128,,-inf
129,,-inf
130,,-inf
131,,-inf
132,,-inf
133,,-inf
134,,-inf
135,,-inf
136,,-inf
137,,-inf
138,,-inf
139,,-inf
140,,-inf
141,,-inf
142,,-inf
143,,-inf
144,,-inf
145,,-inf
146,,-inf
147,,-inf
148,,-inf
149,,-inf
150,,-inf
151,,-inf
152,,-inf
153,,-inf
154,,-inf
155,,-inf
156,,-inf
157,,-inf
158,,-inf
159,,-inf
160,,-inf
161,,-inf
162,,-inf
163,,-inf
164,,-inf
165,,-inf
166,,-inf
167,,-inf
168,,-inf
169,,-inf
170,,-inf
171,,-inf
172,,-inf
173,,-inf
174,,-inf
175,,-inf
176,,-inf
177,,-inf
178,,-inf
179,,-inf
180,,-inf
181,,-inf
182,,-inf
183,,-inf
184,,-inf
185,,-inf
186,,-inf
187,,-inf
188,,-inf
189,,-inf
190,,-inf
191,,-inf
192,,-inf
193,,-inf
194,,-inf
195,,-inf
196,,-inf
197,,-inf
198,,-inf
199,,-inf
200,,-inf
201,,-inf
202,,-inf
203,,-inf
204,,-inf
205,,-inf
206,,-inf
207,,-inf
208,,-inf
209,,-inf
210,,-inf
211,,-inf
212,,-inf
213,,-inf
214,,-inf
215,,-inf
216,,-inf
217,,-inf
218,,-inf
219,,-inf
220,,-inf
221,,-inf
222,,-inf
223,,-inf
224,,-inf
225,,-inf
226,,-inf
227,,-inf
228,,-inf
229,,-inf
230,,-inf
231,,-inf
232,,-inf
233,,-inf
234,,-inf
235,,-inf
236,,-inf
237,,-inf
238,,-inf
239,,-inf
240,,-inf
241,,-inf
242,,-inf
243,,-inf
244,,-inf
245,,-inf
246,,-inf
247,,-inf
248,,-inf
249,,-inf
250,,-inf
251,,-inf
252,,-inf
253,,-inf
254,,-inf
255,,-inf
256,,-inf
257,,-inf
258,,-inf
259,,-inf
260,,-inf
261,,-inf
262,,-inf
263,,-inf
264,,-inf
265,,-inf
266,,-inf
267,,-inf
268,,-inf
269,,-inf
270,,-inf
271,,-inf
272,,-inf
273,,-inf
274,,-inf
275,,-inf
276,,-inf
277,,-inf
278,,-inf
279,,-inf
280,,-inf
281,,-inf
282,,-inf
283,,-inf
284,,-inf
285,,-inf
286,,-inf
287,,-inf
288,,-inf
289,,-inf
290,,-inf
291,,-inf
292,,-inf
293,,-inf
294,,-inf
295,,-inf
296,,-inf
297,,-inf
298,,-inf
299,,-inf
300,,-inf
301,,-inf
302,,-inf
303,,-inf
304,,-inf
305,,-inf
306,,-inf
307,,-inf
308,,-inf
309,,-inf
310,,-inf
311,,-inf
312,,-inf
313,,-inf
314,,-inf
315,,-inf
316,,-inf
317,,-inf
318,,-inf
319,,-inf
320,,-inf
321,,-inf
322,,-inf
323,,-inf
324,,-inf
325,,-inf
326,,-inf
327,,-inf
328,,-inf
329,,-inf
330,,-inf
331,,-inf
332,,-inf
333,,-inf
334,,-inf
335,,-inf
336,,-inf
337,,-inf
338,,-inf
339,,-inf
340,,-inf
341,,-inf
342,,-inf
343,,-inf
344,,-inf
345,,-inf
346,,-inf
347,,-inf
348,3.0,3.0
349,3.0,3.0
350,3.0,3.0
351,3.0,3.0
352,3.0,3.0
353,3.5,3.5
354,3.5,3.5
355,3.5,3.5
356,3.5,3.5
357,3.5,3.5
358,3.5,3.5
359,3.5,3.5
360,3.5,3.5
361,3.5,3.5
362,3.5,3.5
363,3.5,3.5
364,3.5,3.5
365,3.5,3.5
366,3.5,3.5
367,3.5,3.5
368,3.5,3.5
369,3.5,3.5
370,3.5,3.5
371,3.5,3.5
372,3.5,3.5
373,3.5,3.5
374,3.5,3.5
375,3.5,3.5
376,3.5,3.5
377,3.5,3.5
378,3.5,3.5
379,3.5,3.5
380,3.5,3.5
381,3.5,3.5
382,3.5,3.5
383,3.5,3.5
384,3.5,3.5
385,3.5,3.5
386,3.5,3.5
387,3.5,3.5
388,3.5,3.5
389,3.5,3.5
390,3.5,3.5
391,3.5,3.5
392,3.5,3.5
393,3.5,3.5
394,3.5,3.5
395,3.5,3.5
396,3.5,3.5
397,3.5,3.5
398,3.5,3.5
399,3.5,3.5
400,3.5,3.5
401,3.5,3.5
402,3.5,3.5
403,3.5,3.5
404,3.5,3.5
405,3.5,3.5
406,3.5,3.5
407,3.5,3.5
408,3.5,3.5
409,3.5,3.5
410,3.5,3.5
411,3.5,3.5
412,3.5,3.5
413,3.5,3.5
414,3.5,3.5
415,3.5,3.5
416,3.5,3.5
417,3.5,3.5
418,3.5,3.5
419,3.5,3.5
420,3.5,3.5
421,3.5,3.5
422,3.5,3.5
423,3.5,3.5
424,3.5,3.5
425,3.5,3.5
426,3.5,3.5
427,3.5,3.5
428,3.5,3.5
429,3.5,3.5
430,3.5,3.5
431,3.5,3.5
432,3.5,3.5
433,3.5,3.5
434,3.5,3.5
435,3.5,3.5
436,3.5,3.5
437,3.5,3.5
438,3.5,3.5
439,3.5,3.5
440,3.5,3.5
441,3.5,3.5
442,3.5,3.5
443,3.5,3.5
444,3.5,3.5
445,3.5,3.5
446,3.5,3.5
447,3.5,3.5
448,3.5,3.5
449,3.5,3.5
450,3.5,3.5
451,3.5,3.5
452,3.5,3.5
453,3.5,3.5
454,3.5,3.5
455,3.5,3.5
456,3.5,3.5
457,3.5,3.5
458,3.5,3.5
459,3.5,3.5
460,3.5,3.5
461,3.5,3.5
462,3.5,3.5
463,3.5,3.5
464,3.5,3.5
465,3.5,3.5
466,3.5,3.5
467,3.5,3.5
468,5.666666666666667,5.666666666666667
469,5.666666666666667,5.666666666666667
470,5.666666666666667,5.666666666666667
471,5.666666666666667,5.666666666666667
472,5.666666666666667,5.666666666666667
473,5.666666666666667,5.666666666666667
474,5.666666666666667,5.666666666666667
475,5.666666666666667,5.666666666666667
476,5.666666666666667,5.666666666666667
477,6.0,6.0
478,6.0,6.0
479,6.0,6.0
480,6.0,6.0
481,6.0,6.0
482,6.0,6.0
483,6.0,6.0
484,6.0,6.0
485,6.0,6.0
486,6.0,6.0
487,6.0,6.0
488,6.0,6.0
489,6.0,6.0
490,6.0,6.0
491,6.0,6.0
492,6.0,6.0
493,6.0,6.0
494,6.0,6.0
495,6.0,6.0
496,6.0,6.0
497,6.0,6.0
498,6.0,6.0
499,6.0,6.0
500,6.0,6.0
501,6.0,6.0
502,6.0,6.0
503,6.0,6.0
504,6.0,6.0
505,6.0,6.0
506,6.0,6.0
507,6.0,6.0
508,6.0,6.0
509,6.0,6.0
510,6.0,6.0
511,6.0,6.0
512,6.0,6.0
513,6.0,6.0
514,6.0,6.0
515,6.0,6.0
516,6.0,6.0
517,6.0,6.0
518,6.0,6.0
519,6.0,6.0
520,6.0,6.0
521,6.0,6.0
522,6.0,6.0
523,6.0,6.0
524,6.0,6.0
525,6.0,6.0
526,6.0,6.0
527,6.0,6.0
528,6.0,6.0
529,6.0,6.0
530,6.0,6.0
531,6.0,6.0
532,6.0,6.0
533,6.0,6.0
534,6.0,6.0
535,6.0,6.0
536,6.0,6.0
537,6.0,6.0
538,6.0,6.0
539,6.0,6.0
540,6.166666666666667,6.166666666666667
541,6.166666666666667,6.166666666666667
542,6.166666666666667,6.166666666666667
543,6.166666666666667,6.166666666666667
544,6.166666666666667,6.166666666666667
545,6.166666666666667,6.166666666666667
546,6.166666666666667,6.166666666666667
547,6.166666666666667,6.166666666666667
548,6.166666666666667,6.166666666666667
549,6.166666666666667,6.166666666666667
550,6.166666666666667,6.166666666666667
551,6.166666666666667,6.166666666666667
552,6.166666666666667,6.166666666666667
553,6.166666666666667,6.166666666666667
554,6.166666666666667,6.166666666666667
555,6.166666666666667,6.166666666666667
556,6.166666666666667,6.166666666666667
557,6.166666666666667,6.166666666666667
558,6.166666666666667,6.166666666666667
559,6.166666666666667,6.166666666666667
560,6.166666666666667,6.166666666666667
561,6.166666666666667,6.166666666666667
562,6.166666666666667,6.166666666666667
563,6.166666666666667,6.166666666666667
564,6.166666666666667,6.166666666666667
565,6.166666666666667,6.166666666666667
566,6.166666666666667,6.166666666666667
567,6.166666666666667,6.166666666666667
568,6.166666666666667,6.166666666666667
569,6.166666666666667,6.166666666666667
570,6.166666666666667,6.166666666666667
571,6.166666666666667,6.166666666666667
572,6.166666666666667,6.166666666666667
573,6.166666666666667,6.166666666666667
574,6.166666666666667,6.166666666666667
575,6.166666666666667,6.166666666666667
576,6.166666666666667,6.166666666666667
577,6.166666666666667,6.166666666666667
578,6.166666666666667,6.166666666666667
579,6.166666666666667,6.166666666666667
580,6.166666666666667,6.166666666666667
581,6.166666666666667,6.166666666666667
582,6.166666666666667,6.166666666666667
583,6.166666666666667,6.166666666666667
584,6.166666666666667,6.166666666666667
585,6.166666666666667,6.166666666666667
586,6.166666666666667,6.166666666666667
587,6.166666666666667,6.166666666666667
588,6.166666666666667,6.166666666666667
589,6.166666666666667,6.166666666666667
590,6.285714285714286,6.285714285714286
591,6.285714285714286,6.285714285714286
592,6.285714285714286,6.285714285714286
593,6.285714285714286,6.285714285714286
594,6.625,6.625
595,6.625,6.625
596,6.625,6.625
597,6.625,6.625
598,6.625,6.625
599,6.625,6.625
600,6.625,6.625
601,6.625,6.625
602,7.111111111111111,7.111111111111111
603,7.111111111111111,7.111111111111111
604,7.111111111111111,7.111111111111111
605,7.8,7.8
606,7.8,7.8
607,7.8,7.8
608,7.8,7.8
609,7.8,7.8
610,7.8,7.8
611,7.8,7.8
612,7.8,7.8
613,7.8,7.8
614,7.8,7.8
615,7.8,7.8
616,7.8,7.8
617,7.8,7.8
618,8.090909090909092,8.090909090909092
619,8.090909090909092,8.090909090909092
620,8.090909090909092,8.090909090909092
621,8.090909090909092,8.090909090909092
622,8.090909090909092,8.090909090909092
623,8.090909090909092,8.090909090909092
624,8.090909090909092,8.090909090909092
625,8.090909090909092,8.090909090909092
626,8.090909090909092,8.090909090909092
627,8.090909090909092,8.090909090909092
628,8.090909090909092,8.090909090909092
629,8.090909090909092,8.090909090909092
630,8.090909090909092,8.090909090909092
631,8.090909090909092,8.090909090909092
632,8.090909090909092,8.090909090909092
633,8.090909090909092,8.090909090909092
634,8.090909090909092,8.090909090909092
635,8.090909090909092,8.090909090909092
636,8.090909090909092,8.090909090909092
637,8.090909090909092,8.090909090909092
638,8.090909090909092,8.090909090909092
639,8.090909090909092,8.090909090909092
640,8.090909090909092,8.090909090909092
641,8.090909090909092,8.090909090909092
642,8.090909090909092,8.090909090909092
643,8.090909090909092,8.090909090909092
644,8.090909090909092,8.090909090909092
645,8.090909090909092,8.090909090909092
646,8.090909090909092,8.090909090909092
647,8.090909090909092,8.090909090909092
648,8.090909090909092,8.090909090909092
649,8.090909090909092,8.090909090909092
650,8.090909090909092,8.090909090909092
651,8.090909090909092,8.090909090909092
652,8.090909090909092,8.090909090909092
653,8.090909090909092,8.090909090909092
654,8.090909090909092,8.090909090909092
655,8.090909090909092,8.090909090909092
656,8.090909090909092,8.090909090909092
657,8.090909090909092,8.090909090909092
658,8.090909090909092,8.090909090909092
659,8.090909090909092,8.090909090909092
660,8.090909090909092,8.090909090909092
661,8.090909090909092,8.090909090909092
662,8.090909090909092,8.090909090909092
663,8.090909090909092,8.090909090909092
664,8.090909090909092,8.090909090909092
665,8.090909090909092,8.090909090909092
666,8.090909090909092,8.090909090909092
667,8.090909090909092,8.090909090909092
668,8.090909090909092,8.090909090909092
669,8.090909090909092,8.090909090909092
670,8.090909090909092,8.090909090909092
671,8.090909090909092,8.090909090909092
672,8.090909090909092,8.090909090909092
673,8.090909090909092,8.090909090909092
674,8.090909090909092,8.090909090909092
675,8.090909090909092,8.090909090909092
676,8.090909090909092,8.090909090909092
677,8.090909090909092,8.090909090909092
678,8.090909090909092,8.090909090909092
679,8.090909090909092,8.090909090909092
680,8.090909090909092,8.090909090909092
681,8.090909090909092,8.090909090909092
682,8.090909090909092,8.090909090909092
683,8.090909090909092,8.090909090909092
684,8.090909090909092,8.090909090909092
685,8.416666666666666,8.416666666666666
686,8.416666666666666,8.416666666666666
687,8.416666666666666,8.416666666666666
688,8.416666666666666,8.416666666666666
689,8.416666666666666,8.416666666666666
690,8.416666666666666,8.416666666666666
691,8.416666666666666,8.416666666666666
692,8.416666666666666,8.416666666666666
693,8.416666666666666,8.416666666666666
694,8.416666666666666,8.416666666666666
695,8.692307692307692,8.692307692307692
696,8.692307692307692,8.692307692307692
697,8.692307692307692,8.692307692307692
698,8.692307692307692,8.692307692307692
699,8.692307692307692,8.692307692307692
700,8.692307692307692,8.692307692307692
701,8.692307692307692,8.692307692307692
702,8.692307692307692,8.692307692307692
703,8.692307692307692,8.692307692307692
704,8.692307692307692,8.692307692307692
705,8.692307692307692,8.692307692307692
706,8.692307692307692,8.692307692307692
707,8.692307692307692,8.692307692307692
708,8.928571428571429,8.928571428571429
709,8.928571428571429,8.928571428571429
710,8.928571428571429,8.928571428571429
711,8.928571428571429,8.928571428571429
712,8.928571428571429,8.928571428571429
713,8.928571428571429,8.928571428571429
714,8.928571428571429,8.928571428571429
715,8.928571428571429,8.928571428571429
716,8.928571428571429,8.928571428571429
717,8.928571428571429,8.928571428571429
718,8.928571428571429,8.928571428571429
719,8.928571428571429,8.928571428571429
720,8.928571428571429,8.928571428571429
721,8.928571428571429,8.928571428571429
722,8.928571428571429,8.928571428571429
723,8.928571428571429,8.928571428571429
724,8.928571428571429,8.928571428571429
725,8.928571428571429,8.928571428571429
726,8.928571428571429,8.928571428571429
727,8.928571428571429,8.928571428571429
728,8.928571428571429,8.928571428571429
729,8.928571428571429,8.928571428571429
730,8.928571428571429,8.928571428571429
731,8.928571428571429,8.928571428571429
732,8.928571428571429,8.928571428571429
733,8.928571428571429,8.928571428571429
734,9.066666666666666,9.066666666666666
735,9.066666666666666,9.066666666666666
