episode,average_score,best_score
1,,-inf
2,,-inf
3,,-inf
4,,-inf
5,,-inf
6,,-inf
7,,-inf
8,,-inf
9,,-inf
10,,-inf
11,,-inf
12,,-inf
13,,-inf
14,,-inf
15,,-inf
16,,-inf
17,,-inf
18,,-inf
19,,-inf
20,,-inf
21,,-inf
22,,-inf
23,,-inf
24,,-inf
25,,-inf
26,,-inf
27,,-inf
28,,-inf
29,,-inf
30,,-inf
31,,-inf
32,,-inf
33,,-inf
34,,-inf
35,,-inf
36,,-inf
37,,-inf
38,,-inf
39,,-inf
40,,-inf
41,,-inf
42,,-inf
43,,-inf
44,,-inf
45,,-inf
46,,-inf
47,,-inf
48,,-inf
49,,-inf
50,,-inf
51,,-inf
52,,-inf
53,,-inf
54,,-inf
55,,-inf
56,,-inf
57,,-inf
58,,-inf
59,,-inf
60,,-inf
61,,-inf
62,,-inf
63,,-inf
64,,-inf
65,,-inf
66,,-inf
67,,-inf
68,,-inf
69,,-inf
70,,-inf
71,,-inf
72,,-inf
73,,-inf
74,,-inf
75,,-inf
76,,-inf
77,,-inf
78,,-inf
79,,-inf
80,,-inf
81,,-inf
82,,-inf
83,,-inf
84,,-inf
85,,-inf
86,,-inf
87,,-inf
88,,-inf
89,,-inf
90,,-inf
91,,-inf
92,,-inf
93,,-inf
94,,-inf
95,,-inf
96,,-inf
97,,-inf
98,,-inf
99,,-inf
100,,-inf
101,,-inf
102,,-inf
103,,-inf
104,,-inf
105,,-inf
106,,-inf
107,,-inf
108,,-inf
109,,-inf
110,,-inf
111,,-inf
112,,-inf
113,,-inf
114,,-inf
115,,-inf
116,,-inf
117,,-inf
118,,-inf
119,,-inf
120,,-inf
121,,-inf
122,,-inf
123,,-inf
124,,-inf
125,,-inf
126,,-inf
127,,-inf
128,,-inf
129,,-inf
130,,-inf
131,,-inf
132,,-inf
133,,-inf
134,,-inf
135,,-inf
136,,-inf
137,,-inf
138,,-inf
139,,-inf
140,,-inf
141,,-inf
142,,-inf
143,,-inf
144,,-inf
145,,-inf
146,,-inf
147,,-inf
148,,-inf
149,,-inf
150,,-inf
151,,-inf
152,,-inf
153,,-inf
154,,-inf
155,,-inf
156,,-inf
157,,-inf
158,,-inf
159,,-inf
160,,-inf
161,,-inf
162,,-inf
163,,-inf
164,,-inf
165,,-inf
166,,-inf
167,,-inf
168,,-inf
169,,-inf
170,,-inf
171,,-inf
172,,-inf
173,,-inf
174,,-inf
175,,-inf
176,,-inf
177,,-inf
178,,-inf
179,,-inf
180,,-inf
181,,-inf
182,,-inf
183,,-inf
184,,-inf
185,,-inf
186,,-inf
187,,-inf
188,,-inf
189,,-inf
190,,-inf
191,,-inf
192,,-inf
193,,-inf
194,,-inf
195,,-inf
196,,-inf
197,,-inf
198,,-inf
199,,-inf
200,,-inf
201,,-inf
202,,-inf
203,,-inf
204,,-inf
205,,-inf
206,,-inf
207,,-inf
208,,-inf
209,,-inf
210,,-inf
211,,-inf
212,,-inf
213,,-inf
214,,-inf
215,,-inf
216,,-inf
217,,-inf
218,,-inf
219,,-inf
220,,-inf
221,,-inf
222,,-inf
223,,-inf
224,,-inf
225,,-inf
226,,-inf
227,,-inf
228,,-inf
229,,-inf
230,,-inf
231,,-inf
232,,-inf
233,,-inf
234,,-inf
235,,-inf
236,,-inf
237,,-inf
238,,-inf
239,,-inf
240,,-inf
241,,-inf
242,,-inf
243,,-inf
244,,-inf
245,,-inf
246,,-inf
247,,-inf
248,,-inf
249,,-inf
250,,-inf
251,,-inf
252,,-inf
253,,-inf
254,,-inf
255,,-inf
256,,-inf
257,,-inf
258,,-inf
259,,-inf
260,,-inf
261,,-inf
262,,-inf
263,,-inf
264,,-inf
265,,-inf
266,,-inf
267,,-inf
268,,-inf
269,,-inf
270,,-inf
271,,-inf
272,,-inf
273,,-inf
274,,-inf
275,,-inf
276,,-inf
277,,-inf
278,,-inf
279,,-inf
280,,-inf
281,,-inf
282,,-inf
283,,-inf
284,,-inf
285,,-inf
286,,-inf
287,,-inf
288,,-inf
289,,-inf
290,,-inf
291,,-inf
292,,-inf
293,,-inf
294,,-inf
295,,-inf
296,,-inf
297,,-inf
298,,-inf
299,,-inf
300,,-inf
301,,-inf
302,,-inf
303,,-inf
304,,-inf
305,,-inf
306,,-inf
307,,-inf
308,,-inf
309,,-inf
310,,-inf
311,,-inf
312,,-inf
313,,-inf
314,,-inf
315,,-inf
316,,-inf
317,,-inf
318,,-inf
319,,-inf
320,,-inf
321,,-inf
322,,-inf
323,,-inf
324,,-inf
325,,-inf
326,,-inf
327,,-inf
328,,-inf
329,,-inf
330,,-inf
331,,-inf
332,,-inf
333,,-inf
334,,-inf
335,,-inf
336,,-inf
337,,-inf
338,,-inf
339,,-inf
340,,-inf
341,,-inf
342,,-inf
343,,-inf
344,,-inf
345,,-inf
346,,-inf
347,,-inf
348,,-inf
349,,-inf
350,,-inf
351,,-inf
352,,-inf
353,,-inf
354,,-inf
355,,-inf
356,,-inf
357,,-inf
358,,-inf
359,,-inf
360,,-inf
361,,-inf
362,,-inf
363,,-inf
364,,-inf
365,,-inf
366,,-inf
367,,-inf
368,,-inf
369,,-inf
370,,-inf
371,,-inf
372,,-inf
373,,-inf
374,,-inf
375,,-inf
376,,-inf
377,,-inf
378,,-inf
379,,-inf
380,,-inf
381,,-inf
382,,-inf
383,,-inf
384,,-inf
385,,-inf
386,,-inf
387,,-inf
388,,-inf
389,,-inf
390,,-inf
391,,-inf
392,,-inf
393,,-inf
394,,-inf
395,,-inf
396,,-inf
397,,-inf
398,,-inf
399,,-inf
400,,-inf
401,,-inf
402,,-inf
403,,-inf
404,,-inf
405,,-inf
406,,-inf
407,,-inf
408,,-inf
409,,-inf
410,,-inf
411,,-inf
412,,-inf
413,,-inf
414,,-inf
415,,-inf
416,,-inf
417,,-inf
418,,-inf
419,,-inf
420,,-inf
421,,-inf
422,,-inf
423,,-inf
424,,-inf
425,,-inf
426,,-inf
427,,-inf
428,,-inf
429,,-inf
430,,-inf
431,,-inf
432,,-inf
433,,-inf
434,,-inf
435,,-inf
436,,-inf
437,,-inf
438,,-inf
439,,-inf
440,,-inf
441,,-inf
442,,-inf
443,,-inf
444,,-inf
445,,-inf
446,,-inf
447,,-inf
448,,-inf
449,,-inf
450,,-inf
451,,-inf
452,,-inf
453,,-inf
454,,-inf
455,,-inf
456,,-inf
457,,-inf
458,,-inf
459,,-inf
460,,-inf
461,,-inf
462,,-inf
463,,-inf
464,,-inf
465,,-inf
466,,-inf
467,,-inf
468,,-inf
469,,-inf
470,,-inf
471,,-inf
472,,-inf
473,,-inf
474,,-inf
475,,-inf
476,,-inf
477,,-inf
478,,-inf
479,,-inf
480,,-inf
481,,-inf
482,,-inf
483,,-inf
484,,-inf
485,,-inf
486,,-inf
487,,-inf
488,,-inf
489,,-inf
490,,-inf
491,,-inf
492,,-inf
493,,-inf
494,,-inf
495,,-inf
496,,-inf
497,,-inf
498,,-inf
499,,-inf
500,,-inf
501,,-inf
502,,-inf
503,,-inf
504,,-inf
505,,-inf
506,,-inf
507,,-inf
508,,-inf
509,,-inf
510,,-inf
511,,-inf
512,,-inf
513,,-inf
514,,-inf
515,,-inf
516,,-inf
517,,-inf
518,,-inf
519,,-inf
520,,-inf
521,,-inf
522,,-inf
523,,-inf
524,,-inf
525,,-inf
526,,-inf
527,,-inf
528,,-inf
529,,-inf
530,,-inf
531,,-inf
532,,-inf
533,,-inf
534,,-inf
535,,-inf
536,,-inf
537,,-inf
538,,-inf
539,,-inf
540,,-inf
541,,-inf
542,,-inf
543,,-inf
544,,-inf
545,,-inf
546,,-inf
547,,-inf
548,,-inf
549,,-inf
550,,-inf
551,,-inf
552,,-inf
553,,-inf
554,,-inf
555,,-inf
556,,-inf
557,,-inf
558,,-inf
559,,-inf
560,,-inf
561,,-inf
562,,-inf
563,,-inf
564,,-inf
565,,-inf
566,,-inf
567,,-inf
568,,-inf
569,,-inf
570,,-inf
571,,-inf
572,,-inf
573,,-inf
574,,-inf
575,,-inf
576,,-inf
577,,-inf
578,,-inf
579,,-inf
580,,-inf
581,,-inf
582,,-inf
583,,-inf
584,,-inf
585,,-inf
586,,-inf
587,,-inf
588,,-inf
589,,-inf
590,,-inf
591,,-inf
592,,-inf
593,,-inf
594,,-inf
595,,-inf
596,,-inf
597,,-inf
598,,-inf
599,,-inf
600,,-inf
601,,-inf
602,,-inf
603,,-inf
604,,-inf
605,,-inf
606,,-inf
607,,-inf
608,,-inf
609,,-inf
610,,-inf
611,,-inf
612,,-inf
613,,-inf
614,,-inf
615,,-inf
616,,-inf
617,,-inf
618,,-inf
619,,-inf
620,,-inf
621,,-inf
622,,-inf
623,,-inf
624,,-inf
625,,-inf
626,,-inf
627,,-inf
628,,-inf
629,,-inf
630,,-inf
631,,-inf
632,,-inf
633,,-inf
634,,-inf
635,,-inf
636,,-inf
637,,-inf
638,,-inf
639,,-inf
640,,-inf
641,,-inf
642,,-inf
643,,-inf
644,,-inf
645,,-inf
646,,-inf
647,,-inf
648,,-inf
649,,-inf
650,,-inf
651,,-inf
652,,-inf
653,,-inf
654,,-inf
655,,-inf
656,,-inf
657,,-inf
658,,-inf
659,,-inf
660,,-inf
661,,-inf
662,,-inf
663,,-inf
664,,-inf
665,,-inf
666,,-inf
667,,-inf
668,,-inf
669,,-inf
670,,-inf
671,,-inf
672,,-inf
673,,-inf
674,,-inf
675,,-inf
676,,-inf
677,,-inf
678,,-inf
679,,-inf
680,,-inf
681,,-inf
682,,-inf
683,,-inf
684,,-inf
685,,-inf
686,,-inf
687,,-inf
688,,-inf
689,,-inf
690,,-inf
691,,-inf
692,4.0,4.0
693,4.0,4.0
694,4.0,4.0
695,4.0,4.0
696,4.0,4.0
697,4.0,4.0
698,4.0,4.0
699,4.0,4.0
700,4.0,4.0
701,4.0,4.0
702,4.0,4.0
703,4.0,4.0
704,4.0,4.0
705,4.0,4.0
706,4.0,4.0
707,4.0,4.0
708,4.0,4.0
709,4.0,4.0
710,4.0,4.0
711,4.0,4.0
712,4.0,4.0
713,4.0,4.0
714,4.0,4.0
715,4.0,4.0
716,4.0,4.0
717,4.0,4.0
718,4.0,4.0
719,4.0,4.0
720,4.0,4.0
721,4.0,4.0
722,4.0,4.0
723,4.0,4.0
724,4.0,4.0
725,4.0,4.0
726,4.0,4.0
727,4.0,4.0
728,4.0,4.0
729,4.0,4.0
730,4.0,4.0
731,4.0,4.0
732,4.0,4.0
733,4.0,4.0
734,4.0,4.0
735,4.0,4.0
736,4.0,4.0
737,4.0,4.0
738,4.0,4.0
739,4.0,4.0
740,4.0,4.0
741,4.0,4.0
742,4.0,4.0
743,4.0,4.0
744,4.0,4.0
745,4.0,4.0
746,4.0,4.0
747,4.0,4.0
748,4.0,4.0
749,4.0,4.0
750,4.0,4.0
751,4.0,4.0
752,5.666666666666667,5.666666666666667
753,5.666666666666667,5.666666666666667
754,5.666666666666667,5.666666666666667
755,5.666666666666667,5.666666666666667
756,5.666666666666667,5.666666666666667
757,5.666666666666667,5.666666666666667
758,5.666666666666667,5.666666666666667
759,5.666666666666667,5.666666666666667
760,5.666666666666667,5.666666666666667
761,5.666666666666667,5.666666666666667
762,5.666666666666667,5.666666666666667
763,5.666666666666667,5.666666666666667
764,5.666666666666667,5.666666666666667
765,5.666666666666667,5.666666666666667
766,5.666666666666667,5.666666666666667
767,8.75,8.75
768,8.75,8.75
769,8.75,8.75
770,8.75,8.75
771,8.75,8.75
772,8.75,8.75
773,8.75,8.75
774,8.75,8.75
775,8.75,8.75
776,8.75,8.75
777,8.75,8.75
778,10.4,10.4
779,10.4,10.4
780,10.4,10.4
781,10.4,10.4
782,10.4,10.4
783,10.4,10.4
784,10.4,10.4
785,10.4,10.4
786,10.4,10.4
787,10.4,10.4
788,10.4,10.4
789,10.0,10.4
790,10.0,10.4
791,10.0,10.4
792,10.0,10.4
793,10.0,10.4
794,10.0,10.4
795,10.0,10.4
796,10.0,10.4
797,10.0,10.4
798,10.0,10.4
799,10.0,10.4
800,10.0,10.4
801,10.0,10.4
802,10.0,10.4
803,10.0,10.4
804,10.0,10.4
805,10.0,10.4
806,10.0,10.4
807,10.0,10.4
808,10.0,10.4
809,10.0,10.4
810,10.0,10.4
811,10.0,10.4
812,10.0,10.4
813,10.0,10.4
814,10.0,10.4
815,10.0,10.4
816,10.0,10.4
817,10.0,10.4
818,10.0,10.4
819,10.0,10.4
820,10.0,10.4
821,10.0,10.4
822,10.0,10.4
823,10.0,10.4
824,10.0,10.4
825,10.0,10.4
826,10.0,10.4
827,10.0,10.4
828,10.857142857142858,10.857142857142858
829,10.857142857142858,10.857142857142858
830,10.857142857142858,10.857142857142858
831,10.857142857142858,10.857142857142858
832,10.857142857142858,10.857142857142858
833,10.857142857142858,10.857142857142858
834,10.857142857142858,10.857142857142858
835,10.857142857142858,10.857142857142858
836,10.857142857142858,10.857142857142858
837,10.857142857142858,10.857142857142858
838,10.857142857142858,10.857142857142858
839,10.857142857142858,10.857142857142858
840,10.857142857142858,10.857142857142858
841,10.857142857142858,10.857142857142858
842,10.857142857142858,10.857142857142858
843,10.857142857142858,10.857142857142858
844,10.857142857142858,10.857142857142858
845,10.857142857142858,10.857142857142858
846,10.857142857142858,10.857142857142858
847,10.857142857142858,10.857142857142858
848,10.857142857142858,10.857142857142858
849,10.857142857142858,10.857142857142858
850,10.857142857142858,10.857142857142858
851,10.857142857142858,10.857142857142858
852,10.857142857142858,10.857142857142858
853,10.857142857142858,10.857142857142858
854,10.857142857142858,10.857142857142858
855,10.857142857142858,10.857142857142858
856,10.857142857142858,10.857142857142858
857,10.857142857142858,10.857142857142858
858,10.857142857142858,10.857142857142858
859,10.857142857142858,10.857142857142858
860,10.857142857142858,10.857142857142858
861,10.857142857142858,10.857142857142858
862,10.857142857142858,10.857142857142858
863,10.857142857142858,10.857142857142858
864,10.857142857142858,10.857142857142858
865,10.857142857142858,10.857142857142858
866,10.857142857142858,10.857142857142858
867,11.125,11.125
868,11.125,11.125
869,11.125,11.125
870,11.125,11.125
871,11.125,11.125
872,11.125,11.125
873,11.125,11.125
874,11.125,11.125
875,10.333333333333334,11.125
876,10.333333333333334,11.125
877,10.333333333333334,11.125
878,10.333333333333334,11.125
879,10.333333333333334,11.125
880,10.333333333333334,11.125
881,10.333333333333334,11.125
882,10.333333333333334,11.125
883,10.333333333333334,11.125
884,10.333333333333334,11.125
885,10.333333333333334,11.125
886,10.333333333333334,11.125
887,10.333333333333334,11.125
888,10.333333333333334,11.125
889,10.333333333333334,11.125
890,10.333333333333334,11.125
891,10.333333333333334,11.125
892,10.333333333333334,11.125
893,10.333333333333334,11.125
894,10.333333333333334,11.125
895,10.333333333333334,11.125
896,10.333333333333334,11.125
897,10.333333333333334,11.125
898,10.333333333333334,11.125
899,10.333333333333334,11.125
900,10.333333333333334,11.125
901,9.7,11.125
902,9.7,11.125
903,9.7,11.125
904,9.727272727272727,11.125
905,9.727272727272727,11.125
906,9.727272727272727,11.125
907,9.727272727272727,11.125
908,9.727272727272727,11.125
909,9.727272727272727,11.125
910,9.727272727272727,11.125
911,9.727272727272727,11.125
912,9.727272727272727,11.125
913,9.727272727272727,11.125
914,9.727272727272727,11.125
915,9.727272727272727,11.125
916,9.727272727272727,11.125
917,9.727272727272727,11.125
918,9.727272727272727,11.125
919,9.727272727272727,11.125
920,9.833333333333334,11.125
921,9.833333333333334,11.125
922,9.833333333333334,11.125
923,9.833333333333334,11.125
