episode,average_score,best_score,average_q_value
1,,-inf,0.0022582083
2,,-inf,1.0100693e-05
3,,-inf,3.9230494e-05
4,,-inf,2.3623668e-05
5,,-inf,5.6398014e-05
6,,-inf,-4.0799936e-05
7,,-inf,-9.62565e-06
8,,-inf,-3.0766263e-05
9,,-inf,-0.00011784211
10,,-inf,8.694773e-05
11,,-inf,4.2091186e-05
12,,-inf,9.271998e-05
13,,-inf,2.760606e-05
14,,-inf,-6.7538924e-05
15,,-inf,-1.1393271e-05
16,,-inf,6.0281986e-06
17,,-inf,-1.889314e-05
18,,-inf,-5.9746344e-06
19,,-inf,8.6608154e-05
20,,-inf,-1.8559285e-07
21,,-inf,-8.6502205e-06
22,,-inf,2.9824909e-05
23,,-inf,-2.7073682e-05
24,,-inf,2.1761522e-05
25,,-inf,-1.3146349e-05
26,,-inf,4.914419e-05
27,,-inf,-1.7645862e-05
28,,-inf,3.1248703e-05
29,,-inf,1.890712e-05
30,,-inf,1.1609847e-05
31,,-inf,-3.8730404e-06
32,,-inf,2.5492293e-06
33,,-inf,7.89913e-05
34,,-inf,4.1041967e-05
35,,-inf,3.1646123e-05
36,,-inf,4.218747e-06
37,,-inf,0.0001808092
38,,-inf,-7.911048e-05
39,,-inf,-1.3862397e-05
40,,-inf,-7.969425e-06
41,,-inf,1.51895365e-05
42,,-inf,2.9228931e-05
43,,-inf,9.029033e-05
44,,-inf,1.3753046e-05
45,,-inf,-2.5138477e-06
46,,-inf,-4.1322768e-05
47,,-inf,-9.730179e-06
48,,-inf,-8.3187646e-05
49,,-inf,3.378745e-05
50,,-inf,-0.0001213363
51,,-inf,8.261281e-06
52,,-inf,3.0753727e-05
53,,-inf,7.6151177e-06
54,,-inf,6.1326464e-05
55,,-inf,5.3216303e-05
56,,-inf,-0.00016147473
57,,-inf,-4.805333e-05
58,,-inf,0.00010870081
59,,-inf,-6.479072e-05
60,,-inf,1.2693967e-05
61,,-inf,-9.336086e-05
62,,-inf,-1.082855e-05
63,,-inf,1.45010135e-05
64,,-inf,-1.8125042e-05
65,,-inf,-3.2468357e-05
66,,-inf,-3.2458775e-05
67,,-inf,-0.00018276059
68,,-inf,0.0001833836
69,,-inf,0.0003108136
70,,-inf,3.1478194e-05
71,,-inf,-1.3865264e-05
72,,-inf,0.00060871587
73,,-inf,-0.00016303442
74,,-inf,-0.0002154645
75,,-inf,-6.6592843e-06
76,,-inf,-0.00015436714
77,,-inf,1.7976955e-06
78,,-inf,3.528955e-05
79,,-inf,-0.00015974401
80,,-inf,-4.1008527e-05
81,,-inf,-1.3221323e-05
82,,-inf,8.414083e-05
83,,-inf,8.193606e-05
84,,-inf,3.746671e-05
85,,-inf,0.00011889915
86,,-inf,5.0898834e-05
87,,-inf,0.00022085501
88,,-inf,4.3416683e-05
89,,-inf,0.00015616776
90,,-inf,8.601459e-06
91,,-inf,-0.00016177435
92,,-inf,0.00013820113
93,,-inf,0.00013146346
94,,-inf,2.8278675e-05
95,,-inf,-0.00012377492
96,,-inf,-1.1333124e-05
97,,-inf,6.374699e-05
98,,-inf,-3.454181e-05
99,,-inf,5.1608054e-06
100,,-inf,1.20082805e-05
101,,-inf,-1.8523468e-05
102,,-inf,-1.6735992e-06
103,,-inf,-0.0001429882
104,,-inf,-3.7003932e-07
105,,-inf,-0.00014834007
106,,-inf,5.0085742e-05
107,,-inf,-0.00016045786
108,,-inf,1.0274003e-05
109,,-inf,2.3264181e-05
110,,-inf,2.1374044e-05
111,,-inf,4.3599895e-05
112,,-inf,-0.00014011322
113,,-inf,-5.114009e-05
114,,-inf,-1.9045989e-05
115,,-inf,-8.0703554e-05
116,,-inf,1.8113371e-05
117,,-inf,-9.562142e-05
118,,-inf,4.764911e-05
119,,-inf,0.00046346805
120,,-inf,2.7095339e-05
121,,-inf,-0.00017456913
122,,-inf,-0.00010889227
123,,-inf,-0.00018827866
124,,-inf,-0.00014999275
125,,-inf,-1.3162916e-05
126,,-inf,2.6685182e-05
127,,-inf,-7.897988e-05
128,,-inf,-9.452519e-05
129,,-inf,-2.5787287e-05
130,,-inf,-6.319611e-05
131,,-inf,5.0092054e-05
132,,-inf,-4.1766248e-06
133,,-inf,-0.0001808991
134,,-inf,-0.00012382555
135,,-inf,-0.0001170852
136,,-inf,-1.2693298e-05
137,,-inf,-0.00016316355
138,,-inf,-0.0001441097
139,,-inf,-0.00019691885
140,,-inf,-0.00010006554
141,,-inf,-0.00011196286
142,,-inf,-0.00010404077
143,,-inf,-0.0003926135
144,,-inf,-0.000115669456
145,,-inf,-0.00029351562
146,,-inf,-4.3547774e-05
147,,-inf,-4.4962897e-05
148,,-inf,-1.729502e-05
149,,-inf,-0.000110263245
150,,-inf,-0.00017983394
151,,-inf,-0.00021854712
152,,-inf,-0.0004775576
153,,-inf,-0.00018397749
154,,-inf,-9.948699e-05
155,,-inf,-3.385233e-05
156,,-inf,-0.00018407064
157,,-inf,-0.00016580275
158,,-inf,0.00013263221
159,,-inf,0.0001851964
160,,-inf,-2.5862419e-05
161,,-inf,-0.00013103517
162,,-inf,0.00017610654
163,,-inf,0.00021582896
164,,-inf,-0.00011003708
165,,-inf,3.9413837e-05
166,,-inf,-9.0405825e-05
167,,-inf,-2.1782686e-05
168,,-inf,0.00020503634
169,,-inf,-6.974823e-05
170,,-inf,-9.296677e-05
171,,-inf,0.00019750796
172,,-inf,-6.462597e-05
173,,-inf,-3.9429135e-05
174,,-inf,0.0001421525
175,,-inf,-4.3056112e-05
176,,-inf,-0.000104326326
177,,-inf,-5.490245e-06
178,,-inf,6.887613e-05
179,,-inf,6.013806e-05
180,,-inf,-4.0073322e-05
181,,-inf,-0.000101631915
182,,-inf,-6.75792e-05
183,,-inf,0.0001780791
184,,-inf,-4.149482e-05
185,,-inf,-6.539133e-05
186,,-inf,-2.6180489e-05
187,,-inf,0.00016591235
188,,-inf,8.633586e-05
189,,-inf,-5.059376e-05
190,,-inf,0.00020664434
191,,-inf,4.676294e-05
192,,-inf,-0.00018927144
193,,-inf,-3.0644303e-05
194,,-inf,7.7722136e-05
195,,-inf,-0.00034012558
196,,-inf,2.3419057e-05
197,,-inf,-1.7527273e-05
198,,-inf,-2.946239e-05
199,,-inf,0.00024186121
200,,-inf,-0.00012395646
201,,-inf,-9.107758e-05
202,,-inf,-0.0002784904
203,,-inf,-5.0663697e-05
204,,-inf,-1.4613735e-05
205,,-inf,-4.9095626e-05
206,,-inf,-0.00026851133
207,,-inf,-0.00028355586
208,,-inf,-0.00011513196
209,,-inf,-9.697447e-06
210,,-inf,-0.00020714242
211,,-inf,6.873815e-06
212,,-inf,-8.266935e-05
213,,-inf,-4.5442543e-05
214,,-inf,0.00024039195
215,,-inf,-3.1895524e-05
216,,-inf,-8.855784e-05
217,,-inf,-0.00019873331
218,,-inf,-9.831285e-05
219,,-inf,-1.1240567e-05
220,,-inf,0.0002499897
221,,-inf,0.0003782386
222,,-inf,0.0003119057
223,,-inf,0.00027407403
224,,-inf,0.00032137468
225,,-inf,0.00021887472
226,,-inf,0.00021452382
227,,-inf,0.00027343267
228,,-inf,-0.00012231516
229,,-inf,0.00031601702
230,,-inf,0.00019637539
231,,-inf,0.00022026403
232,,-inf,4.2859185e-05
233,,-inf,0.00027417534
234,,-inf,9.106198e-05
235,,-inf,0.00018491507
236,,-inf,8.470486e-05
237,,-inf,0.00039808883
238,,-inf,0.0003858424
239,,-inf,0.00019450711
240,,-inf,-0.00018198183
241,,-inf,0.00016500129
242,,-inf,0.00023666769
243,,-inf,0.00021778431
244,,-inf,0.00041546856
245,,-inf,0.0002633347
246,,-inf,0.00024311701
247,,-inf,5.558543e-05
248,,-inf,0.00025381314
249,,-inf,-4.1025138e-05
250,,-inf,0.00019316631
251,,-inf,0.00028724724
252,,-inf,0.0002097107
253,,-inf,0.00014384258
254,,-inf,0.00015704526
255,,-inf,0.0003102729
256,,-inf,0.00025881725
257,,-inf,0.00018103888
258,,-inf,0.000117441174
259,,-inf,0.0001731805
260,,-inf,0.00012552488
261,,-inf,0.00022169024
262,,-inf,0.00019487146
263,,-inf,0.00019526848
264,,-inf,-4.8473205e-05
265,,-inf,0.00018474973
266,,-inf,0.0001340913
267,,-inf,-2.5758716e-05
268,,-inf,0.00014692631
269,,-inf,0.0001681308
270,,-inf,0.00017915829
271,,-inf,0.00025502435
272,,-inf,1.3027934e-05
273,,-inf,0.00017681494
274,,-inf,0.00020531827
275,,-inf,0.00014887833
276,,-inf,-3.0396164e-05
277,,-inf,0.00016679493
278,,-inf,0.00026092696
279,,-inf,0.00025810022
280,,-inf,0.00026167958
281,,-inf,0.00020621366
282,,-inf,0.00012888572
283,,-inf,0.00012579992
284,,-inf,0.00015558329
285,,-inf,0.0003208332
286,,-inf,0.00019779097
287,,-inf,0.00029524934
288,,-inf,-2.445629e-05
289,,-inf,0.00026119684
290,,-inf,0.00012693174
291,0.0,0.0,3.8900293e-05
292,0.0,0.0,0.0002472442
293,0.0,0.0,0.00031103432
294,0.0,0.0,0.0003178115
295,0.0,0.0,0.00014395635
296,0.0,0.0,0.00017155704
297,0.0,0.0,0.00014182639
298,0.0,0.0,0.000117983174
299,0.0,0.0,8.7540364e-05
300,0.0,0.0,6.954104e-05
301,0.0,0.0,5.1190473e-05
302,0.0,0.0,0.00013980606
303,0.0,0.0,0.00015933024
304,0.0,0.0,0.00013510621
305,0.0,0.0,0.00020535814
306,0.0,0.0,8.433073e-05
307,0.0,0.0,0.00019508212
308,0.0,0.0,0.000161041
309,0.0,0.0,0.00025521635
310,0.0,0.0,0.0002169635
311,0.0,0.0,0.0003232097
312,0.0,0.0,0.00027537043
313,0.0,0.0,0.0001962838
314,0.0,0.0,0.0020820533
315,0.0,0.0,0.002191373
316,0.0,0.0,0.003498754
317,0.0,0.0,0.0034701978
318,0.0,0.0,0.0034706916
319,0.0,0.0,0.0034583672
320,0.0,0.0,0.0034434262
321,0.0,0.0,0.0034313856
322,0.0,0.0,0.003417953
323,0.0,0.0,0.00341119
324,0.0,0.0,0.0034055419
325,0.0,0.0,0.0035446428
326,0.0,0.0,0.003515535
327,0.0,0.0,0.0034926808
328,0.0,0.0,0.003470383
329,0.0,0.0,0.0034482721
330,0.0,0.0,0.0035238143
331,0.0,0.0,0.0035359361
332,0.0,0.0,0.0035116689
333,0.0,0.0,0.003491831
334,0.0,0.0,0.0037044028
335,0.0,0.0,0.0036684677
336,0.0,0.0,0.0036241098
