episode,average_score,best_score,average_q_value
1,,-inf,0.0020029882
2,,-inf,2.0755406e-05
3,,-inf,5.3401827e-06
4,,-inf,-3.3065306e-05
5,,-inf,9.136884e-05
6,,-inf,4.410983e-05
7,,-inf,1.35196415e-05
8,,-inf,-0.00015055621
9,,-inf,-1.729597e-05
10,,-inf,6.669681e-05
11,,-inf,-7.6979795e-06
12,,-inf,6.004724e-05
13,,-inf,-1.2487484e-06
14,,-inf,1.6843273e-05
15,,-inf,5.303865e-05
16,,-inf,2.5756e-06
17,,-inf,-9.434367e-05
18,,-inf,0.0001650039
19,,-inf,1.0459195e-05
20,,-inf,-2.0614472e-05
21,,-inf,5.0766954e-05
22,,-inf,-3.1315834e-05
23,,-inf,1.0340749e-05
24,,-inf,2.1520613e-05
25,,-inf,1.685718e-05
26,,-inf,-7.561958e-06
27,,-inf,-2.2296255e-05
28,,-inf,-0.000264957
29,,-inf,6.935162e-05
30,,-inf,-0.00012879082
31,,-inf,-3.8924285e-05
32,,-inf,1.9058249e-05
33,,-inf,3.6397746e-06
34,,-inf,-1.4786178e-05
35,,-inf,1.981839e-06
36,,-inf,1.9179845e-06
37,,-inf,1.3953503e-06
38,,-inf,1.3871227e-05
39,,-inf,-0.00040804964
40,,-inf,-0.00021299449
41,,-inf,3.227552e-05
42,,-inf,-1.2466894e-05
43,,-inf,3.6610792e-05
44,,-inf,4.5547827e-06
45,,-inf,4.8581827e-05
46,,-inf,6.208298e-05
47,,-inf,-1.6669806e-06
48,,-inf,2.2557233e-05
49,,-inf,9.778785e-07
50,,-inf,-4.8430666e-06
51,,-inf,7.681258e-05
52,,-inf,-2.1561385e-05
53,,-inf,4.3797186e-06
54,,-inf,2.8552808e-05
55,,-inf,2.1851838e-05
56,,-inf,-1.8221536e-06
57,,-inf,0.00010231707
58,,-inf,-3.1997254e-06
59,,-inf,4.3749686e-05
60,,-inf,-0.00010509317
61,,-inf,-1.3466459e-05
62,,-inf,6.5940374e-05
63,,-inf,2.3529738e-05
64,,-inf,-8.15145e-06
65,,-inf,3.0806805e-05
66,,-inf,-1.0340069e-05
67,,-inf,5.2126954e-05
68,,-inf,-0.00014903363
69,,-inf,9.3741015e-05
70,,-inf,1.11613035e-05
71,,-inf,5.5015327e-05
72,,-inf,1.772489e-05
73,,-inf,0.0001812826
74,,-inf,9.169843e-06
75,,-inf,3.0330537e-05
76,,-inf,5.8547612e-05
77,,-inf,5.245219e-05
78,,-inf,9.964344e-05
79,,-inf,-2.7983695e-05
80,,-inf,-2.6543248e-05
81,,-inf,9.240378e-06
82,,-inf,4.80299e-05
83,,-inf,5.693209e-05
84,,-inf,1.8003986e-07
85,,-inf,-1.891838e-05
86,,-inf,-1.9458184e-05
87,,-inf,6.557459e-05
88,,-inf,1.9239284e-05
89,,-inf,-3.555432e-06
90,,-inf,-7.998097e-05
91,,-inf,2.0765285e-06
92,,-inf,2.4913954e-05
93,,-inf,3.359662e-05
94,,-inf,7.352815e-05
95,,-inf,2.923084e-05
96,,-inf,2.0907379e-05
97,,-inf,-0.000103625964
98,,-inf,0.00014350301
99,,-inf,1.7013243e-05
100,,-inf,4.1917978e-05
101,,-inf,3.7268717e-05
102,,-inf,0.0003993929
103,,-inf,-3.77275e-05
104,,-inf,7.2447574e-06
105,,-inf,0.00028682692
106,,-inf,0.0002610329
107,,-inf,0.00036573395
108,,-inf,0.00033229994
109,,-inf,0.00029367808
110,,-inf,0.0003961697
111,,-inf,0.0004581535
112,,-inf,0.00042119974
113,,-inf,0.00037999262
114,,-inf,0.00046604063
115,,-inf,0.00041517612
116,,-inf,0.0003746266
117,,-inf,0.00032396
118,,-inf,0.00040460375
119,,-inf,0.0003659989
120,,-inf,0.00032621453
121,,-inf,0.00042714938
122,,-inf,0.0003959648
123,,-inf,0.00046854132
124,,-inf,0.00041600913
125,,-inf,0.00036908468
126,,-inf,0.0029115223
127,,-inf,0.00057667994
128,,-inf,0.00048346946
129,,-inf,0.0003905672
130,,-inf,0.0010419282
131,,-inf,0.0013072153
132,,-inf,0.00048492127
133,,-inf,0.0005007415
134,,-inf,0.0019390477
135,,-inf,0.003492656
136,,-inf,0.0002889889
137,,-inf,0.00016554595
138,,-inf,0.003431018
139,,-inf,0.0048157824
140,,-inf,0.0033902575
141,,-inf,0.0053807846
142,,-inf,0.005283589
143,,-inf,0.0028462273
144,,-inf,0.004504033
145,,-inf,0.0017292898
146,,-inf,0.004645735
147,,-inf,0.005413869
148,,-inf,0.0048048203
149,,-inf,0.0059513994
150,,-inf,0.0029792204
151,,-inf,0.0022814185
152,,-inf,0.0058883596
153,,-inf,0.00501906
154,,-inf,0.0061702062
155,,-inf,7.727464e-05
