episode,average_score,best_score,average_q_value
1,,-inf,0.0026071637
2,,-inf,-2.6288367e-06
3,,-inf,2.7959943e-05
4,,-inf,6.5625327e-06
5,,-inf,7.230397e-05
6,,-inf,-1.8216404e-05
7,,-inf,3.998815e-05
8,,-inf,1.38240275e-05
9,,-inf,-1.7485054e-05
10,,-inf,4.908574e-05
11,,-inf,9.099525e-05
12,,-inf,5.0548577e-05
13,,-inf,1.2983296e-05
14,,-inf,-0.00013871767
15,,-inf,1.3087443e-05
16,,-inf,2.8312618e-06
17,,-inf,9.720247e-07
18,,-inf,-1.8350936e-05
19,,-inf,2.1749998e-05
20,,-inf,-2.6522877e-05
21,,-inf,-6.811863e-05
22,,-inf,-3.028742e-05
23,,-inf,9.203909e-05
24,,-inf,-0.000102234866
25,,-inf,-7.249285e-05
26,,-inf,2.4945304e-05
27,,-inf,-2.1569806e-05
28,,-inf,-5.5699493e-05
29,,-inf,3.8294984e-05
30,,-inf,1.7685097e-05
31,,-inf,7.106406e-05
32,,-inf,4.2363463e-06
33,,-inf,7.261271e-05
34,,-inf,-4.0717255e-06
35,,-inf,5.3456126e-05
36,,-inf,1.20400055e-05
37,,-inf,-0.00057251944
38,,-inf,3.5377212e-05
39,,-inf,0.00012111046
40,,-inf,3.7713016e-05
41,,-inf,3.2103588e-05
42,,-inf,-0.00045465498
43,,-inf,1.4957202e-05
44,,-inf,-1.8659222e-05
45,,-inf,8.119671e-05
46,,-inf,2.5372066e-05
47,,-inf,5.701824e-05
48,,-inf,1.6910808e-05
49,,-inf,3.567661e-05
50,,-inf,-0.00040762732
51,,-inf,3.774926e-05
52,,-inf,1.2537485e-05
53,,-inf,0.00015493849
54,,-inf,-4.6488498e-05
55,,-inf,3.2641186e-05
56,,-inf,-0.0004050867
57,,-inf,6.0931885e-05
58,,-inf,3.3564582e-05
59,,-inf,2.96963e-05
60,,-inf,3.361585e-05
61,,-inf,3.5747726e-05
62,,-inf,4.8155933e-05
63,,-inf,3.201555e-05
64,,-inf,0.00042189631
65,,-inf,6.876783e-05
66,,-inf,6.569484e-05
67,,-inf,2.1600299e-05
68,,-inf,5.705541e-05
69,,-inf,1.12576e-05
70,,-inf,1.0891209e-05
71,,-inf,3.1873584e-05
72,,-inf,-2.1413098e-05
73,,-inf,0.00016396045
74,,-inf,2.6922851e-05
75,,-inf,6.880276e-06
76,,-inf,0.00031896183
77,,-inf,4.0736973e-05
78,,-inf,4.1366828e-05
79,,-inf,3.8030987e-05
80,,-inf,-6.727211e-06
81,,-inf,-1.751281e-05
82,,-inf,5.3421572e-05
83,,-inf,-4.9921186e-06
84,,-inf,3.0062474e-05
85,,-inf,1.8797926e-05
86,,-inf,3.8167782e-05
87,,-inf,0.0004392916
88,,-inf,0.00040655563
